Titulo,autores,link,ano,sessao
A OBJETIVAÇÃO DO PROCESSO DE TRABALHO A PARTIR DA GRANDE INDÚSTRIA,LEDA MARIA PAULANI,https://www.sep.org.br/mostrar.php?url=1/1297-a-objetivacao-do-processo-de-trabalho-a-partir-da-grande-industria.pdf,1996,
A UNIDADE ENTRE PRODUÇÃO E CIRCULAÇÃO DO CAPITAL: A FUNÇÃO SOCIAL DOS TRANSPORTES,LÉRIDA MARIA LAGO POVOLERI,https://www.sep.org.br/mostrar.php?url=1/1298-a-unidade-entre-producao-e-circulacao-do-capital-a-funcao-social-dos-transportes.pdf,1996,
A BASE ECONÔMICA DO SOCIALISMO DE MARX,EDUARDO MALDONADO FILHO,https://www.sep.org.br/mostrar.php?url=1/1299-a-base-economica-do-socialismo-de-marx.pdf,1996,
"LUTAS OPERÁRIAS, DESENVOLVIMENTO, CAPITALISMO E TEORIA ECONÔMICA",PEDRO ANTÔNIO VIEIRA,https://www.sep.org.br/mostrar.php?url=1/1300-lutas-operarias-desenvolvimento-capitalismo-e-teoria-economica.pdf,1996,
A CENTRALIDADE DO TRABALHO QUE INTERESSA,GLAUCIA CAMPREGHER,https://www.sep.org.br/mostrar.php?url=1/1301-a-centralidade-do-trabalho-que-interessa.pdf,1996,
METAMORFOSES DA ECONOMIA NO BRASIL: O BANCO NACIONAL DA HABITAÇÃO,VIRGÍNIA FONTES,https://www.sep.org.br/mostrar.php?url=1/1302-metamorfoses-da-economia-no-brasil-o-banco-nacional-da-habitacao.pdf,1996,
AS POLÍTICAS AGRÍCOLAS DO ESTADO BRASILEIRO NA PRIMEIRA REPÚBLICA,SÔNIA REGINA DE MENDONÇA,https://www.sep.org.br/mostrar.php?url=1/1303-as-politicas-agricolas-do-estado-brasileiro-na-primeira-republica.pdf,1996,
"CRÉDITO, BANCOS E POLÍTICA NO BRASIL IMPÉRIO (1830-1860)",THÉO LOBARINHAS PIÑEIRO,https://www.sep.org.br/mostrar.php?url=1/1304-credito-bancos-e-politica-no-brasil-imperio-1830-1860.pdf,1996,
LEGISLAÇÃO AGRÁRIA E CONFLITOS DA TERRA NO BRASIL (1822-1870),MÁRCIA MARIA MENENDES MOTTA,https://www.sep.org.br/mostrar.php?url=1/1305-legislacao-agraria-e-conflitos-da-terra-no-brasil-1822-1870.pdf,1996,
DINÂMICA ECONÔMICA: UMA PERSPECTIVA MARXIANA,ALAIN HERSCOVICI,https://www.sep.org.br/mostrar.php?url=1/1306-dinamica-economica-uma-perspectiva-marxiana.pdf,1996,
A CRISE CAPITALISTA: CENTRO E PERIFERIA NA ABORDAGEM DA REGULAÇÃO,LUIZ AUGUSTO ESTRELLA FARIA,https://www.sep.org.br/mostrar.php?url=1/1307-a-crise-capitalista-centro-e-periferia-na-abordagem-da-regulacao.pdf,1996,
O FORDISMO NA ACEPÇÃO REGULACIONISTA,JOSÉ ELI DA VEIGA,https://www.sep.org.br/mostrar.php?url=1/1308-o-fordismo-na-acepcao-regulacionista.pdf,1996,
"TEORIAS DA REGULAÇÃO CAPITALISTA, OBJETO E MÉTODO: ALÉM DO ECONOMICISMO, ESTRUTUALISMO E FUNCIONALISMO",WAGNER LEAL ARLENTI,https://www.sep.org.br/mostrar.php?url=1/1309-teorias-da-regulacao-capitalista-objeto-e-metodo-alem-do-economicismo-estrutualismo-e-funcionalismo.pdf,1996,
A GÊNESE DO PRINCÍPIO DA DEMANDA EFETIVA EM KEYNES,VICTOR HUGO KLAGSBRUNN,https://www.sep.org.br/mostrar.php?url=1/1310-a-genese-do-principio-da-demanda-efetiva-em-keynes.pdf,1996,
ECONOMIA MONETÁRIA OU ECONOMIA CAPITALISTA? MARX E KEYNES SOBRE A NATUREZA DO CAPITALISTMO,CLAUS M. GERMER,https://www.sep.org.br/mostrar.php?url=1/1311-economia-monetaria-ou-economia-capitalista-marx-e-keynes-sobre-a-natureza-do-capitalistmo.pdf,1996,
A CRISE? QUAL CRISE?,NELSON ROSAS RIBEIRO,https://www.sep.org.br/mostrar.php?url=1/1312-a-crise-qual-crise.pdf,1996,
ESBOÇO CRÍTICO DE UMA INTERPRETAÇÃO MAXISTA DAS CRISES ECONÔMICAS: A ABORDAGEM DE MANDEL,PAULO HENRIQUE FURTADO DE ARAUJO,https://www.sep.org.br/mostrar.php?url=1/1313-esboco-critico-de-uma-interpretacao-maxista-das-crises-economicas-a-abordagem-de-mandel.pdf,1996,
"KALECKI E MARX: SOBRE ALGUMAS RELAÇÕES ENTRE A DISTRIBUIÇÃO E A DETERMINAÇÃO DA RENDA NACIONAL, E A TAXA DE MAIS-VALIA",LUIZ MIRANDA,https://www.sep.org.br/mostrar.php?url=1/1314-kalecki-e-marx-sobre-algumas-relacoes-entre-a-distribuicao-e-a-determinacao-da-renda-nacional-e-a-taxa-de-mais-valia.pdf,1996,
ECONOMIA POLÍTICA DA DINÂMICA CAPITALISTA,JOSÉ CARLOS DE SOUZA BRAGA,https://www.sep.org.br/mostrar.php?url=1/1315-economia-politica-da-dinamica-capitalista.pdf,1996,
DOS GRUNDISSE AO CAPITAL: NOTAS SOBRE A INOVAÇÃO DE PRODUTO EM MARX,FRANCISCO PAULO CIPOLLA,https://www.sep.org.br/mostrar.php?url=1/1316-dos-grundisse-ao-capital-notas-sobre-a-inovacao-de-produto-em-marx.pdf,1996,
"DAS ANÁLISES DE \BARREIRAS À ENTRADA\"" DE BAIN PARA A CONTESTABILIDADE PERFEITA: UMA INVERSÃO METODOLÓGICA NA TENTATIVA DE UNIFICAÇÃO DAS TEORIAS DA ORGANIZAÇÃO INDUSTRIAL E DE SÍNTESE COM A MICROECONOMIA""",ANA MARIA FONTENELE,https://www.sep.org.br/mostrar.php?url=1/1317-das-analises-de-barreiras-a-entrada-de-bain-para-a-contestabilidade-perfeita-uma-inversao-metodologica-na-tentativa-de-unificacao-das-teorias-da-organizacao-industrial-e-de-sintese-com-a-microeconomia.pdf,1996,
CURTO-CIRCUITO NO VALOR: DILEMAS DE UM CAPITALISMO ONDA A APLICAÇÃO DA CIÊNCIA À PRODUÇÃO É SISTEMÁTICA,EDUARDO DA MOTTA; ALBUQUERQUE,https://www.sep.org.br/mostrar.php?url=1/1318-curto-circuito-no-valor-dilemas-de-um-capitalismo-onda-a-aplicacao-da-ciencia-a-producao-e-sistematica.pdf,1996,
"MERCADO, VALOR E CAPITALISMO",VITO ANTONIO LETIZIA,https://www.sep.org.br/mostrar.php?url=1/1319-mercado-valor-e-capitalismo.pdf,1996,
A DIALÉTICA VALORES E PREÇOS,JOÃO ANTÔNIO DE PAULA,https://www.sep.org.br/mostrar.php?url=1/1320-a-dialetica-valores-e-precos.pdf,1996,
SOBRE O PREÇO DE PRODUÇÃO SOBRE O PARADOXO DA DESIGUALDADE DOS IGUAIS,REINALDO A. CARCANHOLO,https://www.sep.org.br/mostrar.php?url=1/1321-sobre-o-preco-de-producao-sobre-o-paradoxo-da-desigualdade-dos-iguais.pdf,1996,
A SOCIOLOGIA INTERNA DA TEORIA DO VALOR,WILSON F. MENEZES,https://www.sep.org.br/mostrar.php?url=1/1322-a-sociologia-interna-da-teoria-do-valor.pdf,1996,
MARX E A ECONOMIA POLÍTICA CRÍTICA,ELIVAN ROSAS RIBEIRO,https://www.sep.org.br/mostrar.php?url=1/1323-marx-e-a-economia-politica-critica.pdf,1996,
OS DOIS RICARDOS,CARLOS ÀGUEDA NAGEL PAIVA,https://www.sep.org.br/mostrar.php?url=1/1324-os-dois-ricardos.pdf,1996,
A TEORIA DO VALOR NA ECONOMIA CLÁSSICA: SEUS AVANÇOS E LIMITAÇÕES,MAURA LÚCIA MONTELLA CARVALHO,https://www.sep.org.br/mostrar.php?url=1/1325-a-teoria-do-valor-na-economia-classica-seus-avancos-e-limitacoes.pdf,1996,
A TEORIA DO VALOR NA ECONOMIA POLÍTICA CLÁSSICA E EM KEYNES,SAMUEL KLLSZTAJN,https://www.sep.org.br/mostrar.php?url=1/1326-a-teoria-do-valor-na-economia-politica-classica-e-em-keynes.pdf,1996,
A TEORIA DO VALOR E A MÁGICA DE SMITH: UMA INTERPRETAÇÃO ANTI-RICARDIANA,REINALDO A. CARCANHOLO,https://www.sep.org.br/mostrar.php?url=1/1327-a-teoria-do-valor-e-a-magica-de-smith-uma-interpretacao-anti-ricardiana.pdf,1996,
DAS RAZÕES DA GRANDEZA E DO PROGRESSO - O DUPLO OLHAR SETECENTISTA: MOTESQUIEU E ADAM SMITH,MARCELO TIMOTHEO DA COSTA,https://www.sep.org.br/mostrar.php?url=1/1328-das-razoes-da-grandeza-e-do-progresso-o-duplo-olhar-setecentista-motesquieu-e-adam-smith.pdf,1996,
QUESNAY E FISIOCRACIA: O DESENVOLVIMENTO DA TEORIA ECONÔMICA NO SÉCULO XVIII,FLÁVIO MESQUISTA SARAIVA,https://www.sep.org.br/mostrar.php?url=1/1329-quesnay-e-fisiocracia-o-desenvolvimento-da-teoria-economica-no-seculo-xviii.pdf,1996,
A RENDA DA TERRA E A MODERNA FORMULAÇÃO DO IMPOSTO DE RENDA ÚNICO NA OBRA DE HENRY GEORGE,MARIA HELOISA LENZ,https://www.sep.org.br/mostrar.php?url=1/1330-a-renda-da-terra-e-a-moderna-formulacao-do-imposto-de-renda-unico-na-obra-de-henry-george.pdf,1996,
SCHUMPETER E O LUGAR DO ESTADO NA ECONOMIA,RUBENS R. SAWAYA,https://www.sep.org.br/mostrar.php?url=1/1331-schumpeter-e-o-lugar-do-estado-na-economia.pdf,1996,
O PENSAMENTO DE WERNER SOMBRAT NA ECONOMIA POLÍTICA,BENEDITO DA SILVA,https://www.sep.org.br/mostrar.php?url=1/1332-o-pensamento-de-werner-sombrat-na-economia-politica.pdf,1996,
A PROPÓSITO DA ONDA LIBERAL NA ECONOMIA BRASILEIRA,PAULO DE TARSO P. L. SOARES,https://www.sep.org.br/mostrar.php?url=1/1333-a-proposito-da-onda-liberal-na-economia-brasileira.pdf,1996,
"NOVO LIBERALISMO, ESTADO E CAPITALISMO DE ESTADO",MARIA ANGÉLICA BORGES,https://www.sep.org.br/mostrar.php?url=1/1334-novo-liberalismo-estado-e-capitalismo-de-estado.pdf,1996,
